Date,Open,High,Low,Close,Volume
3-Mar-17,17.83,17.84,17.44,17.54,35499141
2-Mar-17,18.05,18.25,17.69,18.06,45817874
1-Mar-17,17.62,18.07,17.51,18.05,51436702
28-Feb-17,18.08,18.55,17.96,18.42,45150289
27-Feb-17,18.08,18.24,17.59,17.98,39214867
24-Feb-17,18.97,19.06,18.02,18.09,53953011
23-Feb-17,17.87,18.58,17.82,18.28,57243052
22-Feb-17,17.90,18.16,17.61,17.84,43505507
21-Feb-17,17.30,17.83,17.24,17.76,41164676
17-Feb-17,17.93,18.05,17.47,17.54,48804719
16-Feb-17,17.41,18.40,17.38,17.50,78214308
15-Feb-17,16.87,17.46,16.76,17.41,60845895
14-Feb-17,17.61,17.64,16.86,16.88,53046211
13-Feb-17,17.89,17.94,17.56,17.64,45711822
10-Feb-17,18.30,18.34,18.08,18.21,44949577
9-Feb-17,18.82,18.83,18.32,18.52,37332810
8-Feb-17,19.05,19.27,18.76,18.88,41253708
7-Feb-17,18.79,19.00,18.74,18.98,29142322
6-Feb-17,19.03,19.09,18.72,18.80,33742801
3-Feb-17,18.84,18.96,18.62,18.82,33420650
2-Feb-17,19.24,19.41,19.04,19.20,32993425
1-Feb-17,19.03,19.33,18.85,19.10,41837759
31-Jan-17,19.67,20.03,19.39,19.42,50772828
30-Jan-17,19.35,20.32,19.35,19.50,66029293
27-Jan-17,19.11,19.29,18.89,18.97,27965347
26-Jan-17,19.15,19.40,18.97,19.17,34004684
25-Jan-17,19.25,19.35,19.00,19.09,39183884
24-Jan-17,20.26,20.29,19.45,19.56,41002837
23-Jan-17,20.71,21.10,20.50,20.50,39760792
20-Jan-17,21.30,21.38,20.68,20.71,56197602
19-Jan-17,21.16,21.73,21.10,21.54,36615824
18-Jan-17,21.23,21.41,20.98,21.31,39470926
17-Jan-17,21.75,21.82,21.29,21.39,35706836
13-Jan-17,21.30,21.70,21.16,21.45,35721954
12-Jan-17,21.59,22.51,21.38,21.40,52942752
11-Jan-17,21.91,22.34,21.35,21.44,41641683
10-Jan-17,21.80,22.21,21.63,21.90,28574945
9-Jan-17,22.20,22.41,21.70,22.04,29282991
6-Jan-17,22.16,22.35,21.63,22.13,39994617
5-Jan-17,22.65,23.08,22.36,22.40,28704628
4-Jan-17,23.42,23.43,22.21,22.48,35627800
3-Jan-17,24.48,24.66,23.64,23.70,39114761
30-Dec-16,24.74,25.79,24.73,25.51,34391488
29-Dec-16,24.70,25.34,24.48,25.00,26792198
28-Dec-16,23.70,24.69,23.62,24.62,28635010
27-Dec-16,24.11,24.14,23.72,23.82,14427732
23-Dec-16,24.35,24.48,24.10,24.15,14509033
22-Dec-16,23.84,24.39,23.74,24.27,24031068
21-Dec-16,24.09,24.16,23.80,23.83,21123745
20-Dec-16,24.48,24.54,24.10,24.25,26265520
19-Dec-16,25.33,25.34,24.67,24.72,28819362
16-Dec-16,25.59,25.99,25.45,25.61,30470541
15-Dec-16,25.92,26.32,25.72,25.97,32365390
14-Dec-16,26.55,26.65,25.54,26.31,61841184
13-Dec-16,26.11,26.87,26.02,26.41,29891247
12-Dec-16,26.00,26.45,25.93,26.17,27099610
9-Dec-16,26.50,26.54,25.88,25.97,30907249
8-Dec-16,26.26,27.18,26.10,26.28,46180712
7-Dec-16,26.02,26.37,25.51,26.22,40885355
6-Dec-16,26.55,26.75,26.00,26.15,30243479
5-Dec-16,27.96,28.08,26.96,27.03,38973866
2-Dec-16,29.12,29.28,28.15,28.97,35029576
1-Dec-16,27.83,29.48,27.73,28.96,38084301
30-Nov-16,27.48,28.04,27.40,27.89,32101970
29-Nov-16,28.09,28.36,27.48,27.88,23867415
28-Nov-16,28.15,28.55,27.82,28.06,27505589
25-Nov-16,27.93,28.20,27.79,27.82,9940234
23-Nov-16,28.20,28.45,27.88,27.98,25242903
22-Nov-16,27.76,28.56,27.64,27.91,32580493
21-Nov-16,28.72,28.74,27.71,27.78,27828842
18-Nov-16,29.17,29.56,28.89,29.06,34572190
17-Nov-16,30.05,30.16,29.21,29.23,31406732
16-Nov-16,30.53,30.56,29.79,30.10,33654420
15-Nov-16,30.95,31.32,29.94,29.94,35886950
14-Nov-16,31.60,32.46,31.13,31.29,43006515
11-Nov-16,32.68,33.08,31.30,31.44,48525187
10-Nov-16,30.46,33.27,30.19,32.16,88653887
9-Nov-16,33.97,34.03,30.91,31.38,99742136
8-Nov-16,33.37,33.77,32.00,32.18,40160258
7-Nov-16,34.66,35.03,33.12,33.19,42722357
4-Nov-16,37.47,38.18,36.48,37.94,55962833
3-Nov-16,35.91,38.37,35.71,37.88,49898236
2-Nov-16,35.31,36.27,35.12,35.92,49348686
1-Nov-16,34.21,36.77,34.20,35.11,58916007
31-Oct-16,33.24,34.38,33.15,34.14,30378749
28-Oct-16,32.17,34.00,31.78,33.43,61982685
27-Oct-16,31.02,32.20,30.99,32.04,30460452
26-Oct-16,31.45,31.70,30.83,31.47,29333225
25-Oct-16,30.47,31.16,30.42,30.73,25842771
24-Oct-16,30.88,30.91,30.34,30.45,23384835
21-Oct-16,32.45,32.61,31.53,31.57,27212445
20-Oct-16,32.76,33.11,32.15,32.28,37916515
19-Oct-16,32.78,33.22,32.44,32.70,32607195
18-Oct-16,33.92,34.18,33.41,33.50,27444937
17-Oct-16,34.83,35.35,34.64,34.89,28435916
14-Oct-16,34.40,35.29,34.14,35.06,41196680
13-Oct-16,35.69,36.63,34.90,35.41,58700067
12-Oct-16,34.16,34.77,33.54,34.37,37555597
11-Oct-16,32.76,34.82,32.71,34.28,52543244
10-Oct-16,32.86,32.98,32.27,32.54,20330752
7-Oct-16,33.04,33.97,32.88,33.28,37301469
6-Oct-16,33.60,33.85,33.07,33.20,27544402
5-Oct-16,33.37,33.62,33.20,33.50,25106790
4-Oct-16,33.61,34.62,33.09,33.77,54864239
3-Oct-16,34.41,34.70,33.75,33.89,29951256
30-Sep-16,34.26,34.87,33.61,34.07,42525050
29-Sep-16,33.51,36.64,33.00,35.39,80473484
28-Sep-16,33.51,34.68,33.27,33.34,40950071
27-Sep-16,35.60,35.88,33.48,33.71,38331577
26-Sep-16,35.04,36.00,34.82,35.62,40531083
23-Sep-16,33.70,33.99,33.36,33.80,31965748
22-Sep-16,33.74,34.14,33.40,33.56,39635267
21-Sep-16,37.08,37.61,34.49,34.66,58810114
20-Sep-16,37.00,38.22,36.97,37.64,33157446
19-Sep-16,37.56,38.67,36.77,37.90,45050948
16-Sep-16,40.20,40.92,38.65,38.91,47077881
15-Sep-16,40.88,41.60,38.90,39.38,52317127
14-Sep-16,40.55,41.47,38.87,40.89,73083712
13-Sep-16,37.76,42.41,37.63,41.08,109756321
12-Sep-16,39.29,39.71,35.88,36.28,71897017
9-Sep-16,34.84,38.95,34.69,38.89,79180933
8-Sep-16,33.43,33.93,33.33,33.51,22188506
7-Sep-16,33.88,33.98,33.32,33.41,20757812
6-Sep-16,34.47,34.80,33.82,33.88,24176054
2-Sep-16,35.33,35.47,34.75,34.80,31718813
1-Sep-16,36.05,37.02,35.90,36.09,30792866
31-Aug-16,36.17,37.17,36.00,36.24,24193407
30-Aug-16,36.20,36.70,35.92,36.09,23453330
29-Aug-16,36.97,36.99,36.13,36.37,20954078
26-Aug-16,36.69,38.35,35.66,37.11,50951788
25-Aug-16,37.60,37.66,36.54,36.99,29263297
24-Aug-16,36.32,37.36,36.26,36.96,27879518
23-Aug-16,36.01,36.25,35.78,36.20,21232439
22-Aug-16,36.38,36.86,36.11,36.27,30973443
19-Aug-16,36.35,36.72,35.98,36.13,26957898
18-Aug-16,36.76,37.02,35.96,35.99,25709345
17-Aug-16,37.46,38.44,36.47,36.58,36592051
16-Aug-16,37.05,37.83,37.03,37.58,26377944
15-Aug-16,36.54,36.64,36.16,36.34,21067321
12-Aug-16,37.30,37.77,36.66,36.95,30212084
11-Aug-16,37.04,37.50,36.54,37.29,27717620
10-Aug-16,36.57,38.21,36.30,37.47,3535433
9-Aug-16,36.70,37.20,35.88,36.57,35895146
8-Aug-16,37.60,37.80,37.20,37.20,11574698
5-Aug-16,38.44,38.52,37.56,38.08,15878188
4-Aug-16,40.02,40.48,39.12,39.48,12968954
3-Aug-16,41.68,42.12,40.52,40.56,13403090
2-Aug-16,40.52,42.84,40.24,41.56,22123613
1-Aug-16,40.44,41.12,39.52,40.08,16463624
29-Jul-16,42.20,42.32,40.40,40.72,14469503
28-Jul-16,43.24,43.72,41.96,42.24,13218304
27-Jul-16,43.48,44.72,42.60,43.00,17323212
26-Jul-16,44.44,45.32,44.00,44.00,13464786
25-Jul-16,44.40,46.14,44.08,44.44,15882516
22-Jul-16,45.52,45.84,44.20,44.68,13801261
21-Jul-16,44.72,46.40,44.36,45.80,17643938
20-Jul-16,44.96,45.38,44.16,44.60,13566852
19-Jul-16,45.88,46.60,45.20,45.72,12117556
18-Jul-16,46.88,47.12,45.44,45.92,13590158
15-Jul-16,46.52,48.24,46.24,46.72,18475754
14-Jul-16,46.44,47.16,46.12,46.96,14279689
13-Jul-16,47.24,48.12,46.84,47.00,14220316
12-Jul-16,47.68,48.84,47.56,47.72,15977818
11-Jul-16,48.04,49.00,47.60,48.80,14288150
8-Jul-16,50.44,50.72,48.48,48.84,19753354
7-Jul-16,52.28,54.36,51.46,52.20,17441606
6-Jul-16,55.36,56.24,53.08,53.20,18995210
5-Jul-16,54.48,56.58,54.24,54.48,18321693
1-Jul-16,54.88,55.12,53.24,53.56,20180431
30-Jun-16,56.26,57.08,54.92,55.24,22832450
29-Jun-16,58.48,58.52,56.36,57.08,18616096
28-Jun-16,64.64,64.72,60.12,60.40,31986630
27-Jun-16,67.60,71.48,66.92,67.23,43679544
24-Jun-16,65.00,68.80,59.80,67.68,45081859
23-Jun-16,57.00,57.83,54.08,54.44,24020502
22-Jun-16,58.28,61.10,56.64,60.28,23046257
21-Jun-16,56.88,59.40,56.78,58.24,20049470
20-Jun-16,58.20,58.28,56.24,57.84,21039988
17-Jun-16,62.28,63.44,61.12,62.32,19021171
16-Jun-16,66.90,69.20,61.64,62.32,35776774
15-Jun-16,64.00,64.64,61.24,64.00,26204453
14-Jun-16,67.40,68.28,63.66,64.64,42793684
13-Jun-16,60.08,66.20,58.64,66.08,32265450
10-Jun-16,55.24,57.82,54.76,57.56,22688220
9-Jun-16,52.84,53.48,52.20,52.80,14623416
8-Jun-16,51.44,52.40,51.04,51.84,12323011
7-Jun-16,50.96,51.60,50.40,51.56,12622704
6-Jun-16,51.80,52.76,51.16,51.44,14864552
3-Jun-16,53.28,54.74,51.76,52.08,17897898
2-Jun-16,54.44,55.04,52.36,52.36,13610130
1-Jun-16,55.16,55.76,53.40,53.86,14491456
31-May-16,53.56,55.88,53.32,54.28,15178912
27-May-16,55.40,55.64,54.28,54.34,10957684
26-May-16,56.36,56.56,55.60,55.84,10776786
25-May-16,56.62,57.16,55.34,56.44,13616121
24-May-16,59.20,59.28,56.86,57.52,15396720
23-May-16,60.28,60.83,59.28,60.12,11211452
20-May-16,61.32,61.46,60.16,60.40,16052845
19-May-16,63.36,65.88,62.44,62.64,23133870
18-May-16,62.60,63.72,60.28,62.32,24555736
17-May-16,60.32,63.40,60.00,62.56,18914783
16-May-16,62.32,62.36,59.04,59.92,15028538
13-May-16,60.60,63.28,59.38,62.68,18310414
12-May-16,60.62,63.12,59.56,60.60,20015441
11-May-16,59.48,61.88,58.56,61.40,16937921
10-May-16,60.80,60.92,59.24,59.36,12658540
9-May-16,63.20,63.40,61.04,62.44,14186171
6-May-16,67.08,67.16,63.60,63.88,16660732
5-May-16,65.60,67.92,65.28,66.84,14539377
4-May-16,67.72,68.40,66.40,66.92,17477178
3-May-16,65.08,67.40,64.76,66.08,20864995
2-May-16,65.92,66.64,62.48,63.20,17445932
29-Apr-16,65.96,70.24,65.16,67.32,29621542
28-Apr-16,62.68,65.60,60.40,65.12,18960427
27-Apr-16,64.28,64.60,60.84,61.52,17270998
26-Apr-16,64.00,64.44,62.92,63.44,10929541
25-Apr-16,65.08,66.28,64.48,64.76,13399439
22-Apr-16,66.08,66.56,63.76,64.00,14336296
21-Apr-16,65.14,66.68,64.60,65.64,15227540
20-Apr-16,63.20,64.84,62.64,64.44,15277808
19-Apr-16,63.24,65.48,62.24,64.12,17768171
18-Apr-16,68.52,68.56,63.28,63.48,15384504
15-Apr-16,68.36,69.16,67.60,67.72,13190481
14-Apr-16,68.68,69.92,67.70,68.60,13236258
13-Apr-16,70.76,71.08,68.72,68.84,14629619
12-Apr-16,74.96,76.76,71.76,72.48,17283130
11-Apr-16,72.60,75.12,71.80,75.04,15161949
8-Apr-16,73.08,75.48,71.88,73.84,19276646
7-Apr-16,71.44,77.48,70.60,75.84,21879158
6-Apr-16,74.04,74.60,69.36,69.52,18419033
5-Apr-16,73.00,74.72,72.00,74.32,23370195
4-Apr-16,68.36,70.56,68.00,70.28,13621082
1-Apr-16,72.76,73.16,68.24,68.48,18238972
31-Mar-16,70.64,71.56,69.08,70.48,16762386
30-Mar-16,70.48,71.76,68.88,70.04,19190786
29-Mar-16,76.40,77.04,71.64,71.80,17308020
28-Mar-16,76.48,77.80,74.99,76.20,14119026
24-Mar-16,80.36,81.00,77.12,77.20,20463012
23-Mar-16,74.92,78.12,74.84,77.64,17179732
22-Mar-16,76.16,76.40,73.60,74.20,14374083
21-Mar-16,77.32,77.60,74.88,75.20,16497732
18-Mar-16,76.92,78.92,76.00,77.40,17198840
17-Mar-16,80.38,80.92,76.98,77.96,14282541
16-Mar-16,84.52,84.60,79.68,80.36,20535369
15-Mar-16,84.76,85.08,83.32,83.48,13820048
14-Mar-16,84.16,84.88,81.84,82.32,12220628
11-Mar-16,85.88,86.43,83.56,83.60,18887826
10-Mar-16,88.28,92.32,85.44,88.08,26758386
9-Mar-16,89.92,91.68,89.20,89.70,15511620
8-Mar-16,89.36,91.16,88.12,90.92,17688365
7-Mar-16,89.12,89.56,85.56,87.56,17320094
4-Mar-16,85.00,88.34,84.52,87.44,19095922
3-Mar-16,89.76,90.48,85.52,86.36,15210494
2-Mar-16,91.16,92.60,89.20,89.28,14563995
1-Mar-16,97.16,98.20,90.80,90.88,16564189
29-Feb-16,97.58,99.68,94.88,99.52,12483938
26-Feb-16,95.04,98.96,94.56,98.00,15622109
25-Feb-16,99.28,101.24,96.52,96.64,13099975
24-Feb-16,104.92,106.60,99.52,100.08,19149420
23-Feb-16,97.20,101.16,96.48,100.72,14517190
22-Feb-16,98.84,99.12,95.80,95.88,14145703
19-Feb-16,106.24,107.12,101.44,101.68,16294062
18-Feb-16,104.00,106.16,102.76,104.32,14681382
17-Feb-16,106.32,107.48,104.12,104.72,12720685
16-Feb-16,110.32,112.24,108.52,109.00,13644520
12-Feb-16,115.68,118.40,113.88,114.24,16141589
11-Feb-16,119.88,123.40,116.52,119.12,32426061
10-Feb-16,109.32,112.52,107.36,112.28,22185071
9-Feb-16,114.92,115.42,109.20,111.52,24600656
8-Feb-16,109.48,115.00,108.40,110.48,26326626
5-Feb-16,101.24,107.24,101.16,105.44,21244711
4-Feb-16,101.72,102.96,99.04,101.44,20971490
3-Feb-16,100.00,107.44,99.88,100.48,25370954
2-Feb-16,98.36,102.52,98.20,101.60,18151921
1-Feb-16,97.00,98.70,94.20,95.36,15513846
29-Jan-16,99.88,100.32,96.18,96.48,19126623
28-Jan-16,100.68,105.20,99.84,100.60,21586350
27-Jan-16,101.20,105.52,97.20,104.08,22821962
26-Jan-16,103.48,104.88,99.84,99.96,17632700
25-Jan-16,101.26,105.48,99.68,104.96,19183247
22-Jan-16,104.16,105.24,99.92,100.00,21607932
21-Jan-16,108.32,113.92,105.28,109.16,36684964
20-Jan-16,110.36,118.84,107.16,109.64,39513388
19-Jan-16,102.76,111.80,102.72,106.84,25889204
15-Jan-16,107.92,110.56,103.84,106.80,37638054
14-Jan-16,99.88,104.60,94.52,97.16,27920530
13-Jan-16,89.84,102.64,89.56,100.80,30420090
12-Jan-16,92.20,97.84,91.30,91.64,23181299
11-Jan-16,98.20,106.92,95.28,96.08,32760558
8-Jan-16,91.00,100.64,89.96,99.32,26873204
7-Jan-16,91.00,95.80,88.68,94.40,30037587
6-Jan-16,88.18,88.24,84.96,85.16,16795970
5-Jan-16,83.44,86.04,81.92,82.68,16103048
4-Jan-16,86.64,89.36,85.00,85.36,21372044
31-Dec-15,79.56,80.56,78.12,80.40,10912623
30-Dec-15,77.16,78.80,76.96,78.48,7564835
29-Dec-15,76.32,77.04,75.76,76.28,8352746
28-Dec-15,79.84,81.44,77.44,77.56,9328447
24-Dec-15,77.64,78.72,77.32,78.48,5059189
23-Dec-15,77.00,78.84,76.44,77.08,12874278
22-Dec-15,80.32,81.44,78.04,78.96,14441501
21-Dec-15,83.84,87.10,82.92,83.04,14664317
18-Dec-15,83.32,87.84,82.36,87.08,25409416
17-Dec-15,76.84,81.52,76.80,80.64,21120300
16-Dec-15,80.04,82.08,75.88,77.36,27575987
15-Dec-15,83.56,86.40,81.80,83.04,18820702
14-Dec-15,92.56,97.12,85.80,86.68,29483866
11-Dec-15,85.36,94.92,84.44,93.28,32948549
10-Dec-15,80.44,82.00,78.20,81.12,14354978
9-Dec-15,77.92,82.36,75.02,79.96,20894732
8-Dec-15,77.64,78.72,75.16,76.92,17683452
7-Dec-15,72.92,77.12,72.92,74.60,14637632
4-Dec-15,77.72,78.44,72.76,72.87,18769712
3-Dec-15,73.36,81.92,73.00,80.08,23987042
2-Dec-15,72.08,75.28,70.88,74.72,13883062
1-Dec-15,74.20,74.92,71.84,71.92,10311958
30-Nov-15,75.12,76.08,74.60,75.20,9350419
27-Nov-15,74.68,75.84,74.56,75.64,5019032
25-Nov-15,75.76,76.48,74.48,74.96,8216192
24-Nov-15,77.76,78.68,75.18,76.12,13174132
23-Nov-15,77.28,78.08,75.20,75.60,11562494
20-Nov-15,77.96,78.52,76.76,77.72,12399910
19-Nov-15,78.52,81.44,78.16,80.44,13173388
18-Nov-15,81.68,81.84,77.64,77.80,16511122
17-Nov-15,78.04,84.72,77.60,83.32,13330516
16-Nov-15,87.56,88.24,78.80,79.00,17220890
13-Nov-15,82.68,88.28,82.00,87.84,21365619
12-Nov-15,77.60,82.44,76.64,82.24,17394029
11-Nov-15,73.28,75.60,73.16,75.60,10312654
10-Nov-15,77.00,77.32,73.44,73.96,10940706
9-Nov-15,72.60,77.32,72.28,76.12,14725442
6-Nov-15,73.80,75.60,72.16,72.16,13710990
5-Nov-15,75.32,76.68,73.48,73.76,13481386
4-Nov-15,72.48,76.10,72.20,75.28,14572929
3-Nov-15,72.32,73.48,71.12,73.04,10514795
2-Nov-15,75.20,75.52,70.88,71.44,10761586
30-Oct-15,74.48,75.56,73.40,75.32,10128536
29-Oct-15,74.44,75.72,73.52,74.32,11218291
28-Oct-15,75.20,77.68,73.08,73.36,17139240
27-Oct-15,78.08,78.12,75.20,75.52,13034244
26-Oct-15,75.64,77.20,74.64,77.08,11981789
23-Oct-15,72.00,76.02,71.84,74.52,17933186
22-Oct-15,79.00,79.04,73.64,73.76,18592318
21-Oct-15,75.04,81.56,74.12,81.16,20187427
20-Oct-15,74.00,77.16,72.88,75.80,15967509
19-Oct-15,79.00,79.28,73.08,73.28,16654488
16-Oct-15,78.24,81.80,78.16,78.76,16131433
15-Oct-15,84.04,84.76,79.16,79.66,15002421
14-Oct-15,84.96,87.96,83.24,85.72,15275145
13-Oct-15,81.64,84.48,78.76,84.00,15681243
12-Oct-15,84.84,85.68,79.08,80.00,12394466
9-Oct-15,84.80,87.68,83.88,85.08,12289575
8-Oct-15,89.16,90.20,84.00,85.12,16112120
7-Oct-15,90.40,92.56,89.12,89.36,13031808
6-Oct-15,90.32,93.08,89.00,91.60,12019026
5-Oct-15,94.12,94.40,90.00,90.60,12579918
2-Oct-15,105.12,106.12,96.00,96.12,19365482
1-Oct-15,102.72,106.00,101.28,101.36,15069215
30-Sep-15,102.84,105.64,101.76,102.40,14939509
29-Sep-15,106.12,110.16,103.48,107.56,20972945
28-Sep-15,103.88,110.16,102.92,107.36,22141779
25-Sep-15,93.88,102.72,93.80,100.36,20777517
24-Sep-15,99.80,104.76,97.08,97.92,22005219
23-Sep-15,97.52,98.84,94.32,95.24,15372724
22-Sep-15,96.76,102.28,95.32,97.40,24997384
21-Sep-15,95.68,96.84,91.84,92.20,18668434
18-Sep-15,96.44,99.96,93.04,98.60,22459874
17-Sep-15,87.92,90.00,80.16,87.88,31528440
16-Sep-15,90.48,93.44,88.04,88.36,13912391
15-Sep-15,102.76,103.52,93.68,94.00,16249148
14-Sep-15,103.88,106.60,103.84,104.28,9928845
11-Sep-15,107.08,108.96,104.08,104.16,13956756
10-Sep-15,112.66,113.24,106.60,106.72,20408140
9-Sep-15,101.24,110.24,101.04,109.40,22391192
8-Sep-15,110.40,111.88,106.64,107.04,17125169
4-Sep-15,114.48,119.92,111.88,117.32,23526183
3-Sep-15,106.48,112.48,101.84,109.28,17842831
2-Sep-15,116.04,120.68,109.84,109.92,25472614
1-Sep-15,117.16,125.92,114.08,123.04,33493858
31-Aug-15,104.76,108.24,103.52,107.32,18599153
28-Aug-15,102.00,108.44,100.44,103.44,30520466
27-Aug-15,92.46,104.80,92.24,98.68,23068044
26-Aug-15,97.28,108.68,95.40,96.48,35199552
25-Aug-15,87.28,106.56,86.88,106.04,31798928
24-Aug-15,108.60,112.88,86.24,97.56,65972284
21-Aug-15,74.48,82.92,72.28,82.84,52149454
20-Aug-15,67.96,71.28,67.08,70.60,25973520
19-Aug-15,64.80,66.76,63.24,65.04,21993572
18-Aug-15,63.48,64.32,62.84,63.88,9203035
17-Aug-15,64.64,65.36,63.06,63.24,10236987
14-Aug-15,63.98,64.96,63.40,63.96,9509163
13-Aug-15,64.28,65.60,63.16,64.16,12063922
12-Aug-15,68.40,69.64,64.32,64.96,21365045
11-Aug-15,64.52,66.22,63.64,64.88,15269434
10-Aug-15,62.96,62.96,62.04,62.28,8977026
7-Aug-15,64.96,66.44,64.12,64.52,12204242
6-Aug-15,62.98,66.40,62.92,65.04,13867888
5-Aug-15,63.16,63.80,61.92,62.96,10100706
4-Aug-15,63.56,64.56,62.80,63.32,11433494
3-Aug-15,63.88,65.78,62.96,63.12,13121796
31-Jul-15,63.76,65.00,63.16,64.08,11016266
30-Jul-15,64.88,66.28,63.92,64.20,10452705
29-Jul-15,65.40,65.76,64.04,64.64,14566679
28-Jul-15,68.88,70.68,65.12,65.96,16459500
27-Jul-15,70.08,72.48,69.12,70.88,17760122
24-Jul-15,65.40,68.36,64.72,67.36,14845582
23-Jul-15,63.92,66.28,63.56,65.16,15065642
22-Jul-15,66.52,66.60,63.88,64.48,11538558
21-Jul-15,65.04,65.96,64.68,64.80,10109190
20-Jul-15,65.48,65.92,63.96,65.32,9926765
17-Jul-15,65.68,66.56,65.48,65.60,10180606
16-Jul-15,68.48,68.68,65.98,66.12,15139494
15-Jul-15,70.72,72.52,69.76,70.80,11305677
14-Jul-15,71.78,72.16,69.56,71.04,9404075
13-Jul-15,75.00,75.48,71.28,71.68,13883682
10-Jul-15,81.56,84.12,79.08,79.44,16119614
9-Jul-15,80.72,86.56,80.40,86.04,17476862
8-Jul-15,80.88,85.56,80.04,85.40,22898699
7-Jul-15,81.68,86.32,77.60,77.60,24441858
6-Jul-15,83.64,84.40,80.04,81.92,18150609
2-Jul-15,75.12,81.28,74.80,79.88,20400507
1-Jul-15,76.36,79.02,74.92,75.08,16806298
30-Jun-15,77.00,84.44,76.80,80.40,28442742
29-Jun-15,73.76,82.00,72.64,81.24,31659635
26-Jun-15,69.48,70.96,69.00,69.40,11371447
25-Jun-15,68.72,70.28,68.08,69.84,10673797
24-Jun-15,68.36,69.40,67.40,69.24,11355184
23-Jun-15,69.40,69.52,67.92,68.04,9034010
